Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Year,Period,Period Label,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
AARHUS,44,-2.036,43,43.0,Denmark,2020,2020S01,S1   2020,S,Semi-annual,208.0,3.0,Container ships,0.4458,,18.0,,19275.0,,214286.0,,,,,,1813.0,,19630.0,
ACAJUTLA,249,0.64,249,-11.0,Australia,2020,2020S01,S1   2020,S,Semi-annual,36.0,3.0,Container ships,1.3083,,13.0,,50747.0,,109712.0,,,,,,4653.0,,9572.0,
ALEXANDRIA (EGYPT),234,0.482,221,-5.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724.0,3.0,Container ships,0.6632,,15.0,,35800.0,,232618.0,,,,,,3257.0,,23756.0,
ALGIERS,315,2.076,318,-49.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724.0,3.0,Container ships,0.6632,,15.0,,35800.0,,232618.0,,,,,,3257.0,,23756.0,
ALTAMIRA,145,-0.324,98,17.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724.0,3.0,Container ships,0.6632,,15.0,,35800.0,,232618.0,,,,,,3257.0,,23756.0,
ANCONA,193,0.067,183,0.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380.0,3.0,Container ships,0.916,,16.0,,44139.0,,232618.0,,,,,,4031.0,,23756.0,
BARRANQUILLA,169,-0.137,169,3.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724.0,3.0,Container ships,0.6632,,15.0,,35800.0,,232618.0,,,,,,3257.0,,23756.0,
BATANGAS,112,-0.663,144,8.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380.0,3.0,Container ships,0.916,,16.0,,44139.0,,232618.0,,,,,,4031.0,,23756.0,
BELAWAN,197,0.104,202,-2.0,Indonesia,2020,2020S01,S1   2020,S,Semi-annual,360.0,3.0,Container ships,0.9799,,14.0,,15882.0,,172000.0,,,,,,1534.0,,14855.0,
BELL BAY,163,-0.205,163,5.0,Australia,2020,2020S01,S1   2020,S,Semi-annual,36.0,3.0,Container ships,1.3083,,13.0,,50747.0,,109712.0,,,,,,4653.0,,9572.0,
BILBAO,224,0.384,243,-10.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724.0,3.0,Container ships,0.6632,,15.0,,35800.0,,232618.0,,,,,,3257.0,,23756.0,
BORUSAN,166,-0.163,195,-1.0,France,2020,2020S01,S1   2020,S,Semi-annual,251.0,3.0,Container ships,0.8062,,14.0,,55802.0,,235500.0,,,,,,5012.0,,23656.0,
BRISBANE,246,0.569,234,-8.0,Germany,2020,2020S01,S1   2020,S,Semi-annual,276.0,3.0,Container ships,0.9667,,13.0,,48606.0,,232618.0,,,,,,4455.0,,23964.0,
BRISTOL,294,1.462,277,-19.0,Australia,2020,2020S01,S1   2020,S,Semi-annual,36.0,3.0,Container ships,1.3083,,13.0,,50747.0,,109712.0,,,,,,4653.0,,9572.0,
BUENAVENTURA,72,-1.353,71,29.0,United Kingdom,2020,2020S01,S1   2020,S,Semi-annual,926.0,3.0,Container ships,0.7083,,15.0,,36628.0,,235500.0,,,,,,3359.0,,23964.0,
CAI LAN,46,-1.991,74,27.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724.0,3.0,Container ships,0.6632,,15.0,,35800.0,,232618.0,,,,,,3257.0,,23756.0,
CASTELLON,144,-0.339,157,6.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380.0,3.0,Container ships,0.916,,16.0,,44139.0,,232618.0,,,,,,4031.0,,23756.0,
CHATTOGRAM,306,1.809,298,-28.0,China,2020,2020S01,S1   2020,S,Semi-annual,156.0,3.0,Container ships,0.5951,,12.0,,49840.0,,235500.0,,,,,,4665.0,,23964.0,
CHORNOMORSK,230,0.449,274,-19.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380.0,3.0,Container ships,0.916,,16.0,,44139.0,,232618.0,,,,,,4031.0,,23756.0,
COPENHAGEN,129,-0.471,142,8.0,Denmark,2020,2020S01,S1   2020,S,Semi-annual,208.0,3.0,Container ships,0.4458,,18.0,,19275.0,,214286.0,,,,,,1813.0,,19630.0,
DAKAR,177,-0.031,120,12.0,China,2020,2020S01,S1   2020,S,Semi-annual,156.0,3.0,Container ships,0.5951,,12.0,,49840.0,,235500.0,,,,,,4665.0,,23964.0,
DAMIETTA,250,0.65,297,-28.0,China,2020,2020S01,S1   2020,S,Semi-annual,156.0,3.0,Container ships,0.5951,,12.0,,49840.0,,235500.0,,,,,,4665.0,,23964.0,
DUNKIRK,118,-0.611,305,-33.0,France,2020,2020S01,S1   2020,S,Semi-annual,251.0,3.0,Container ships,0.8062,,14.0,,55802.0,,235500.0,,,,,,5012.0,,23656.0,
ENSENADA,136,-0.378,125,11.0,United Kingdom,2020,2020S01,S1   2020,S,Semi-annual,926.0,3.0,Container ships,0.7083,,15.0,,36628.0,,235500.0,,,,,,3359.0,,23964.0,
FORT−DE−FRANCE,125,-0.543,112,15.0,France,2020,2020S01,S1   2020,S,Semi-annual,251.0,3.0,Container ships,0.8062,,14.0,,55802.0,,235500.0,,,,,,5012.0,,23656.0,
FREDERICIA,128,-0.493,138,9.0,Denmark,2020,2020S01,S1   2020,S,Semi-annual,208.0,3.0,Container ships,0.4458,,18.0,,19275.0,,214286.0,,,,,,1813.0,,19630.0,
FREETOWN,220,0.35,319,-49.0,Australia,2020,2020S01,S1   2020,S,Semi-annual,36.0,3.0,Container ships,1.3083,,13.0,,50747.0,,109712.0,,,,,,4653.0,,9572.0,
FREMANTLE,326,2.716,21,61.0,China,2020,2020S01,S1   2020,S,Semi-annual,156.0,3.0,Container ships,0.5951,,12.0,,49840.0,,235500.0,,,,,,4665.0,,23964.0,
FUZHOU,23,-2.829,214,-4.0,Sweden,2020,2020S01,S1   2020,S,Semi-annual,752.0,3.0,Container ships,0.6361,,15.0,,16616.0,,214286.0,,,,,,1550.0,,19630.0,
GEMLIK,51,-1.892,282,-21.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380.0,3.0,Container ships,0.916,,16.0,,44139.0,,232618.0,,,,,,4031.0,,23756.0,
GENOA,321,2.42,196,-1.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724.0,3.0,Container ships,0.6632,,15.0,,35800.0,,232618.0,,,,,,3257.0,,23756.0,
GIJON,187,0.013,212,-4.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380.0,3.0,Container ships,0.916,,16.0,,44139.0,,232618.0,,,,,,4031.0,,23756.0,
GRANGEMOUTH,243,0.56,6,92.0,China,2020,2020S01,S1   2020,S,Semi-annual,156.0,3.0,Container ships,0.5951,,12.0,,49840.0,,235500.0,,,,,,4665.0,,23964.0,
GUAYAQUIL,336,3.647,161,5.0,France,2020,2020S01,S1   2020,S,Semi-annual,251.0,3.0,Container ships,0.8062,,14.0,,55802.0,,235500.0,,,,,,5012.0,,23656.0,
HAIPHONG,47,-1.953,116,12.0,Japan,2020,2020S01,S1   2020,S,Semi-annual,392.0,3.0,Container ships,0.3354,,13.0,,16666.0,,192237.0,,,,,,1600.0,,18400.0,
HAKATA,99,-0.758,25,59.0,Canada,2020,2020S01,S1   2020,S,Semi-annual,124.0,3.0,Container ships,1.6229,,14.0,,57154.0,,153666.0,,,,,,5192.0,,14414.0,
HAMAD PORT,36,-2.411,191,0.0,Germany,2020,2020S01,S1   2020,S,Semi-annual,276.0,3.0,Container ships,0.9667,,13.0,,48606.0,,232618.0,,,,,,4455.0,,23964.0,
HELSINGBORG,164,-0.196,185,0.0,Sweden,2020,2020S01,S1   2020,S,Semi-annual,752.0,3.0,Container ships,0.6361,,15.0,,16616.0,,214286.0,,,,,,1550.0,,19630.0,
"HONG KONG, HONG KONG SAR, CHINA",7,-4.276,242,-9.0,Greece,2020,2020S01,S1   2020,S,Semi-annual,300.0,3.0,Container ships,0.9861,,16.0,,39631.0,,215553.0,,,,,,3699.0,,21413.0,
KINGSTON (JAMAICA),286,1.283,266,-17.0,Japan,2020,2020S01,S1   2020,S,Semi-annual,392.0,3.0,Container ships,0.3354,,13.0,,16666.0,,192237.0,,,,,,1600.0,,18400.0,
KRISTIANSAND,186,0.008,296,-28.0,Japan,2020,2020S01,S1   2020,S,Semi-annual,392.0,3.0,Container ships,0.3354,,13.0,,16666.0,,192237.0,,,,,,1600.0,,18400.0,
LAGOS (NIGERIA),358,-188.317,358,-80.295,Denmark,2020,2020S01,S1   2020,S,Semi-annual,208.0,3.0,Container ships,0.4458,,18.0,,19275.0,,214286.0,,,,,,1813.0,,19630.0,
LATAKIA,171,-0.135,23,60.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380.0,3.0,Container ships,0.916,,16.0,,44139.0,,232618.0,,,,,,4031.0,,23756.0,
LIANYUNGANG,37,-2.375,178,1.0,Norway,2020,2020S01,S1   2020,S,Semi-annual,579.0,3.0,Container ships,0.3295,,16.0,,8836.0,,16802.0,,,,,,839.0,,1730.0,
LIVORNO,251,0.658,332,-77.0,France,2020,2020S01,S1   2020,S,Semi-annual,251.0,3.0,Container ships,0.8062,,14.0,,55802.0,,235500.0,,,,,,5012.0,,23656.0,
LONDON,82,-1.117,355,-73.209,China,2020,2020S01,S1   2020,S,Semi-annual,156.0,3.0,Container ships,0.5951,,12.0,,49840.0,,235500.0,,,,,,4665.0,,23964.0,
LOS ANGELES,370,-954.086,369,-281.841,United Kingdom,2020,2020S01,S1   2020,S,Semi-annual,926.0,3.0,Container ships,0.7083,,15.0,,36628.0,,235500.0,,,,,,3359.0,,23964.0,
LUANDA,350,8.383,343,-115.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380.0,3.0,Container ships,0.916,,16.0,,44139.0,,232618.0,,,,,,4031.0,,23756.0,
LYTTELTON,188,0.034,186,0.0,United Kingdom,2020,2020S01,S1   2020,S,Semi-annual,926.0,3.0,Container ships,0.7083,,15.0,,36628.0,,235500.0,,,,,,3359.0,,23964.0,
MANZANILLO (MEXICO),275,1.07,145,8.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724.0,3.0,Container ships,0.6632,,15.0,,35800.0,,232618.0,,,,,,3257.0,,23756.0,
MEJILLONES,289,1.381,311,-38.0,France,2020,2020S01,S1   2020,S,Semi-annual,251.0,3.0,Container ships,0.8062,,14.0,,55802.0,,235500.0,,,,,,5012.0,,23656.0,
MIAMI,200,0.149,114,14.0,France,2020,2020S01,S1   2020,S,Semi-annual,251.0,3.0,Container ships,0.8062,,14.0,,55802.0,,235500.0,,,,,,5012.0,,23656.0,
MOJI,111,-0.663,123,11.0,Australia,2020,2020S01,S1   2020,S,Semi-annual,36.0,3.0,Container ships,1.3083,,13.0,,50747.0,,109712.0,,,,,,4653.0,,9572.0,
MUNDRA,50,-1.902,44,43.0,Japan,2020,2020S01,S1   2020,S,Semi-annual,392.0,3.0,Container ships,0.3354,,13.0,,16666.0,,192237.0,,,,,,1600.0,,18400.0,
NAHA,92,-0.883,111,15.0,Canada,2020,2020S01,S1   2020,S,Semi-annual,124.0,3.0,Container ships,1.6229,,14.0,,57154.0,,153666.0,,,,,,5192.0,,14414.0,
NASSAU,173,-0.109,189,0.0,Japan,2020,2020S01,S1   2020,S,Semi-annual,392.0,3.0,Container ships,0.3354,,13.0,,16666.0,,192237.0,,,,,,1600.0,,18400.0,
NELSON,210,0.24,206,-2.0,Japan,2020,2020S01,S1   2020,S,Semi-annual,392.0,3.0,Container ships,0.3354,,13.0,,16666.0,,192237.0,,,,,,1600.0,,18400.0,
NEMRUT BAY,329,2.97,326,-61.0,France,2020,2020S01,S1   2020,S,Semi-annual,251.0,3.0,Container ships,0.8062,,14.0,,55802.0,,235500.0,,,,,,5012.0,,23656.0,
NEW ORLEANS,265,0.865,237,-9.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380.0,3.0,Container ships,0.916,,16.0,,44139.0,,232618.0,,,,,,4031.0,,23756.0,
NOUAKCHOTT,356,-175.532,292,-25.0,China,2020,2020S01,S1   2020,S,Semi-annual,156.0,3.0,Container ships,0.5951,,12.0,,49840.0,,235500.0,,,,,,4665.0,,23964.0,
NOUMEA,104,-0.721,124,11.0,Sweden,2020,2020S01,S1   2020,S,Semi-annual,752.0,3.0,Container ships,0.6361,,15.0,,16616.0,,214286.0,,,,,,1550.0,,19630.0,
OAKLAND,332,3.163,334,-79.0,France,2020,2020S01,S1   2020,S,Semi-annual,251.0,3.0,Container ships,0.8062,,14.0,,55802.0,,235500.0,,,,,,5012.0,,23656.0,
OMAEZAKI,109,-0.68,121,11.0,Japan,2020,2020S01,S1   2020,S,Semi-annual,392.0,3.0,Container ships,0.3354,,13.0,,16666.0,,192237.0,,,,,,1600.0,,18400.0,
OSAKA,67,-1.44,77,27.0,Japan,2020,2020S01,S1   2020,S,Semi-annual,392.0,3.0,Container ships,0.3354,,13.0,,16666.0,,192237.0,,,,,,1600.0,,18400.0,
OSLO,78,-1.192,91,20.0,Norway,2020,2020S01,S1   2020,S,Semi-annual,579.0,3.0,Container ships,0.3295,,16.0,,8836.0,,16802.0,,,,,,839.0,,1730.0,
PALERMO,172,-0.125,182,1.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380.0,3.0,Container ships,0.916,,16.0,,44139.0,,232618.0,,,,,,4031.0,,23756.0,
PANJANG,247,0.573,229,-7.0,Indonesia,2020,2020S01,S1   2020,S,Semi-annual,360.0,3.0,Container ships,0.9799,,14.0,,15882.0,,172000.0,,,,,,1534.0,,14855.0,
PAPEETE,157,-0.227,167,4.0,France,2020,2020S01,S1   2020,S,Semi-annual,251.0,3.0,Container ships,0.8062,,14.0,,55802.0,,235500.0,,,,,,5012.0,,23656.0,
PIRAEUS,93,-0.859,89,23.0,Greece,2020,2020S01,S1   2020,S,Semi-annual,300.0,3.0,Container ships,0.9861,,16.0,,39631.0,,215553.0,,,,,,3699.0,,21413.0,
POINTE-NOIRE,362,-320.281,362,-110.337,France,2020,2020S01,S1   2020,S,Semi-annual,251.0,3.0,Container ships,0.8062,,14.0,,55802.0,,235500.0,,,,,,5012.0,,23656.0,
PORT BOTANY,337,3.907,327,-63.0,Australia,2020,2020S01,S1   2020,S,Semi-annual,36.0,3.0,Container ships,1.3083,,13.0,,50747.0,,109712.0,,,,,,4653.0,,9572.0,
PORT LOUIS,344,5.501,346,-175.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724.0,3.0,Container ships,0.6632,,15.0,,35800.0,,232618.0,,,,,,3257.0,,23756.0,
PORT OF SPAIN,260,0.775,248,-11.0,France,2020,2020S01,S1   2020,S,Semi-annual,251.0,3.0,Container ships,0.8062,,14.0,,55802.0,,235500.0,,,,,,5012.0,,23656.0,
PRINCE RUPERT,330,2.979,323,-56.0,Canada,2020,2020S01,S1   2020,S,Semi-annual,124.0,3.0,Container ships,1.6229,,14.0,,57154.0,,153666.0,,,,,,5192.0,,14414.0,
QINZHOU,127,-0.523,148,8.0,China,2020,2020S01,S1   2020,S,Semi-annual,156.0,3.0,Container ships,0.5951,,12.0,,49840.0,,235500.0,,,,,,4665.0,,23964.0,
QUY NHON,79,-1.163,104,16.0,China,2020,2020S01,S1   2020,S,Semi-annual,156.0,3.0,Container ships,0.5951,,12.0,,49840.0,,235500.0,,,,,,4665.0,,23964.0,
RIJEKA,312,1.974,279,-20.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380.0,3.0,Container ships,0.916,,16.0,,44139.0,,232618.0,,,,,,4031.0,,23756.0,
RIO GRANDE (BRAZIL),74,-1.332,47,42.0,Croatia,2020,2020S01,S1   2020,S,Semi-annual,191.0,3.0,Container ships,0.6507,,13.0,,31594.0,,153744.0,,,,,,2951.0,,15226.0,
SALERNO,174,-0.08,168,3.0,Canada,2020,2020S01,S1   2020,S,Semi-annual,124.0,3.0,Container ships,1.6229,,14.0,,57154.0,,153666.0,,,,,,5192.0,,14414.0,
SAMSUN,297,1.502,280,-20.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380.0,3.0,Container ships,0.916,,16.0,,44139.0,,232618.0,,,,,,4031.0,,23756.0,
SANTO TOMAS DE CASTILLA,203,0.185,201,-2.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724.0,3.0,Container ships,0.6632,,15.0,,35800.0,,232618.0,,,,,,3257.0,,23756.0,
SEATTLE,236,0.487,263,-16.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380.0,3.0,Container ships,0.916,,16.0,,44139.0,,232618.0,,,,,,4031.0,,23756.0,
SHANTOU,91,-0.935,117,12.0,China,2020,2020S01,S1   2020,S,Semi-annual,156.0,3.0,Container ships,0.5951,,12.0,,49840.0,,235500.0,,,,,,4665.0,,23964.0,
SHEKOU,9,-3.726,5,94.0,China,2020,2020S01,S1   2020,S,Semi-annual,156.0,3.0,Container ships,0.5951,,12.0,,49840.0,,235500.0,,,,,,4665.0,,23964.0,
SHIMIZU,12,-3.361,24,59.0,China,2020,2020S01,S1   2020,S,Semi-annual,156.0,3.0,Container ships,0.5951,,12.0,,49840.0,,235500.0,,,,,,4665.0,,23964.0,
SHUAIBA,149,-0.301,228,-7.0,Japan,2020,2020S01,S1   2020,S,Semi-annual,392.0,3.0,Container ships,0.3354,,13.0,,16666.0,,192237.0,,,,,,1600.0,,18400.0,
SOUTHAMPTON,290,1.404,317,-45.0,United Kingdom,2020,2020S01,S1   2020,S,Semi-annual,926.0,3.0,Container ships,0.7083,,15.0,,36628.0,,235500.0,,,,,,3359.0,,23964.0,
TANGER MEDITERRANEAN,27,-2.769,15,76.0,Indonesia,2020,2020S01,S1   2020,S,Semi-annual,360.0,3.0,Container ships,0.9799,,14.0,,15882.0,,172000.0,,,,,,1534.0,,14855.0,
TANJUNG PELEPAS,13,-3.342,11,86.0,Indonesia,2020,2020S01,S1   2020,S,Semi-annual,360.0,3.0,Container ships,0.9799,,14.0,,15882.0,,172000.0,,,,,,1534.0,,14855.0,
TANJUNG PERAK,153,-0.269,172,3.0,Indonesia,2020,2020S01,S1   2020,S,Semi-annual,360.0,3.0,Container ships,0.9799,,14.0,,15882.0,,172000.0,,,,,,1534.0,,14855.0,
